tBJD,HJD,fits,dMag
1816.099788426739,2458816.099788427,2019-11-28T14:23:41.720,1.184097103017703
1816.1400665801634,2458816.1400665804,2019-11-28T15:21:41.753,1.1769397203420864
1816.177566922051,2458816.1775669223,2019-11-28T16:15:41.782,1.162984828407318
1816.2164561582986,2458816.216456158,2019-11-28T17:11:41.812,1.1752117875831267
1816.2567342875077,2458816.2567342874,2019-11-28T18:09:41.842,1.144483600972948
1816.2956235088545,2458816.2956235087,2019-11-28T19:05:41.871,1.1494537066565464
1816.3345127227503,2458816.3345127227,2019-11-28T20:01:41.899,1.1633456942860718
1816.37201303018,2458816.37201303,2019-11-28T20:55:41.926,1.1622546732379337
1816.4122911314503,2458816.4122911314,2019-11-28T21:53:41.954,1.1654395313392634
1816.4525692257348,2458816.452569226,2019-11-28T22:51:41.981,1.184651165002361
1816.490069514538,2458816.4900695146,2019-11-28T23:45:42.006,1.1727851091605979
1816.5303475962505,2458816.5303475964,2019-11-29T00:43:42.032,1.152155907540315
1816.5692367728925,2458816.569236773,2019-11-29T01:39:42.057,1.1463319966681358
1816.608125943948,2458816.608125944,2019-11-29T02:35:42.082,1.1775614310307967
1816.6456262108645,2458816.645626211,2019-11-29T03:29:42.105,1.1637301780818925
1816.648404008431,2458816.6484040082,2019-11-29T03:33:42.106,1.1526073740796343
1816.68729316831,2458816.687293168,2019-11-29T04:29:42.130,1.1585542029066591
1816.7261823235322,2458816.7261823234,2019-11-29T05:25:42.153,1.1679412138655536
1816.7664603712522,2458816.766460371,2019-11-29T06:23:42.176,1.1549859371008968
1816.8025717200603,2458816.80257172,2019-11-29T07:15:42.197,1.1632039132238798
1816.8428497580005,2458816.842849758,2019-11-29T08:13:42.219,1.1560106529767675
1816.881738893665,2458816.8817388937,2019-11-29T09:09:42.240,1.159706272577325
1816.9206280242074,2458816.9206280243,2019-11-29T10:05:42.261,1.1656645104483494
1816.9609060477128,2458816.960906048,2019-11-29T11:03:42.283,1.1512993304454937
1816.9984062722542,2458816.9984062724,2019-11-29T11:57:42.302,1.1577531359286666
1817.0372953897577,2458817.03729539,2019-11-29T12:53:42.322,1.1552630602633136
1817.0775733992934,2458817.0775733995,2019-11-29T13:51:42.342,1.1554251966537838
1817.1164625084161,2458817.116462508,2019-11-29T14:47:42.361,1.1746552288010461
1817.156740509104,2458817.156740509,2019-11-29T15:45:42.380,1.1487334717468172
1817.1942407131555,2458817.194240713,2019-11-29T16:39:42.398,1.1414806917250875
1817.2331298097051,2458817.2331298096,2019-11-29T17:35:42.416,1.1460335130817823
1817.2734077982855,2458817.2734077983,2019-11-29T18:33:42.434,1.1488879798125737
1817.3109079906953,2458817.3109079907,2019-11-29T19:27:42.450,1.1492839733703901
1817.3511859713599,2458817.3511859714,2019-11-29T20:25:42.468,1.1597683673592434
1817.3928528435895,2458817.3928528437,2019-11-29T21:25:42.486,1.1360500085347818
1817.428964129534,2458817.4289641296,2019-11-29T22:17:42.501,1.1368040891390314
1817.4678532028,2458817.467853203,2019-11-29T23:13:42.517,1.1548493296528588
1817.506742272807,2458817.506742273,2019-11-30T00:09:42.532,1.1404865118800835
1817.5456313386221,2458817.545631339,2019-11-30T01:05:42.548,1.1382643931031562
1817.584520401178,2458817.584520401,2019-11-30T02:01:42.563,1.1315608507946948
1817.703965357542,2458817.7039653575,2019-11-30T04:53:42.607,1.1260629243932616
1817.7414655113034,2458817.7414655113,2019-11-30T05:47:42.620,1.1502657851806883
1817.7803545566298,2458817.7803545566,2019-11-30T06:43:42.634,1.1479346538676052
1817.8192435982314,2458817.8192435983,2019-11-30T07:39:42.647,1.1527955173244029
1817.8581326370384,2458817.858132637,2019-11-30T08:35:42.660,1.1525461310933796
1817.89702167212,2458817.897021672,2019-11-30T09:31:42.672,1.164435156608445
1817.9359107039427,2458817.935910704,2019-11-30T10:27:42.685,1.1670925196183042
1817.9761886268648,2458817.976188627,2019-11-30T11:25:42.697,1.1504104876589063
1818.0150776521682,2458818.015077652,2019-11-30T12:21:42.709,1.1353487176185377
1818.0525777807834,2458818.0525777806,2019-11-30T13:15:42.720,1.1372388825745607
1818.0928556934607,2458818.0928556933,2019-11-30T14:13:42.732,1.1547160124862665
1818.1317447094511,2458818.1317447093,2019-11-30T15:09:42.743,1.1343499765016742
1818.13591138927,2458818.1359113893,2019-11-30T15:15:42.744,1.1638149089547516
1818.1720226156092,2458818.1720226156,2019-11-30T16:07:42.754,1.1597562808188413
1818.212300518042,2458818.212300518,2019-11-30T17:05:42.765,1.1534222555388702
1818.251189524719,2458818.251189525,2019-11-30T18:01:42.775,1.138580215729428
1818.2900785281365,2458818.290078528,2019-11-30T18:57:42.785,1.1410452176867292
1818.3275786357967,2458818.327578636,2019-11-30T19:51:42.794,1.1611082713854632
1818.3664676331605,2458818.3664676333,2019-11-30T20:47:42.804,1.154168981365965
1818.4081344127235,2458818.408134413,2019-11-30T21:47:42.813,1.1418003101976493
1818.4470234040336,2458818.447023404,2019-11-30T22:43:42.822,1.1481766850386137
