tBJD,HJD,fits
1816.099788426739,2458816.099788427,2019-11-28T14:23:41.720
1816.1400665801634,2458816.1400665804,2019-11-28T15:21:41.753
1816.177566922051,2458816.1775669223,2019-11-28T16:15:41.782
1816.2164561582986,2458816.216456158,2019-11-28T17:11:41.812
1816.2567342875077,2458816.2567342874,2019-11-28T18:09:41.842
1816.2956235088545,2458816.2956235087,2019-11-28T19:05:41.871
1816.3345127227503,2458816.3345127227,2019-11-28T20:01:41.899
1816.37201303018,2458816.37201303,2019-11-28T20:55:41.926
1816.4122911314503,2458816.4122911314,2019-11-28T21:53:41.954
1816.4525692257348,2458816.452569226,2019-11-28T22:51:41.981
1816.490069514538,2458816.4900695146,2019-11-28T23:45:42.006
1816.5303475962505,2458816.5303475964,2019-11-29T00:43:42.032
1816.5692367728925,2458816.569236773,2019-11-29T01:39:42.057
1816.608125943948,2458816.608125944,2019-11-29T02:35:42.082
1816.6456262108645,2458816.645626211,2019-11-29T03:29:42.105
1816.648404008431,2458816.6484040082,2019-11-29T03:33:42.106
1816.68729316831,2458816.687293168,2019-11-29T04:29:42.130
1816.7261823235322,2458816.7261823234,2019-11-29T05:25:42.153
1816.7664603712522,2458816.766460371,2019-11-29T06:23:42.176
1816.8025717200603,2458816.80257172,2019-11-29T07:15:42.197
1816.8428497580005,2458816.842849758,2019-11-29T08:13:42.219
1816.881738893665,2458816.8817388937,2019-11-29T09:09:42.240
1816.9206280242074,2458816.9206280243,2019-11-29T10:05:42.261
1816.9609060477128,2458816.960906048,2019-11-29T11:03:42.283
1816.9984062722542,2458816.9984062724,2019-11-29T11:57:42.302
1817.0372953897577,2458817.03729539,2019-11-29T12:53:42.322
1817.0775733992934,2458817.0775733995,2019-11-29T13:51:42.342
1817.1164625084161,2458817.116462508,2019-11-29T14:47:42.361
1817.156740509104,2458817.156740509,2019-11-29T15:45:42.380
1817.1942407131555,2458817.194240713,2019-11-29T16:39:42.398
1817.2331298097051,2458817.2331298096,2019-11-29T17:35:42.416
1817.2734077982855,2458817.2734077983,2019-11-29T18:33:42.434
1817.3109079906953,2458817.3109079907,2019-11-29T19:27:42.450
1817.3511859713599,2458817.3511859714,2019-11-29T20:25:42.468
1817.3928528435895,2458817.3928528437,2019-11-29T21:25:42.486
1817.428964129534,2458817.4289641296,2019-11-29T22:17:42.501
1817.4678532028,2458817.467853203,2019-11-29T23:13:42.517
1817.506742272807,2458817.506742273,2019-11-30T00:09:42.532
1817.5456313386221,2458817.545631339,2019-11-30T01:05:42.548
1817.584520401178,2458817.584520401,2019-11-30T02:01:42.563
1817.703965357542,2458817.7039653575,2019-11-30T04:53:42.607
1817.7414655113034,2458817.7414655113,2019-11-30T05:47:42.620
1817.7803545566298,2458817.7803545566,2019-11-30T06:43:42.634
1817.8192435982314,2458817.8192435983,2019-11-30T07:39:42.647
1817.8581326370384,2458817.858132637,2019-11-30T08:35:42.660
1817.89702167212,2458817.897021672,2019-11-30T09:31:42.672
1817.9359107039427,2458817.935910704,2019-11-30T10:27:42.685
1817.9761886268648,2458817.976188627,2019-11-30T11:25:42.697
1818.0150776521682,2458818.015077652,2019-11-30T12:21:42.709
1818.0525777807834,2458818.0525777806,2019-11-30T13:15:42.720
1818.0928556934607,2458818.0928556933,2019-11-30T14:13:42.732
1818.1317447094511,2458818.1317447093,2019-11-30T15:09:42.743
1818.13591138927,2458818.1359113893,2019-11-30T15:15:42.744
1818.1720226156092,2458818.1720226156,2019-11-30T16:07:42.754
1818.212300518042,2458818.212300518,2019-11-30T17:05:42.765
1818.251189524719,2458818.251189525,2019-11-30T18:01:42.775
1818.2900785281365,2458818.290078528,2019-11-30T18:57:42.785
1818.3275786357967,2458818.327578636,2019-11-30T19:51:42.794
1818.3664676331605,2458818.3664676333,2019-11-30T20:47:42.804
1818.4081344127235,2458818.408134413,2019-11-30T21:47:42.813
1818.4470234040336,2458818.447023404,2019-11-30T22:43:42.822
1818.4831346075557,2458818.483134608,2019-11-30T23:35:42.830
1818.5234124857748,2458818.5234124856,2019-12-01T00:33:42.839
1818.5636903602685,2458818.56369036,2019-12-01T01:31:42.847
1818.6011904479055,2458818.601190448,2019-12-01T02:25:42.855
1818.6400794247802,2458818.6400794247,2019-12-01T03:21:42.862
1818.6803572904264,2458818.6803572904,2019-12-01T04:19:42.870
1818.7192462612475,2458818.7192462613,2019-12-01T05:15:42.877
1818.758135229274,2458818.7581352293,2019-12-01T06:11:42.884
1818.7984130860727,2458818.798413086,2019-12-01T07:09:42.891
1818.837302048512,2458818.8373020487,2019-12-01T08:05:42.897
1818.8761910081566,2458818.8761910084,2019-12-01T09:01:42.903
1818.9164688561077,2458818.916468856,2019-12-01T09:59:42.909
1818.9539689190651,2458818.953968919,2019-12-01T10:53:42.915
1818.9928578698627,2458818.9928578697,2019-12-01T11:49:42.920
1819.0317468183316,2458819.031746818,2019-12-01T12:45:42.925
1819.0720246551068,2458819.072024655,2019-12-01T13:43:42.930
1819.109524706888,2458819.109524707,2019-12-01T14:37:42.935
1819.1498025380752,2458819.149802538,2019-12-01T15:35:42.939
1819.1886914753682,2458819.1886914754,2019-12-01T16:31:42.943
1819.2275804098676,2458819.22758041,2019-12-01T17:27:42.947
1819.267858232207,2458819.2678582324,2019-12-01T18:25:42.951
1819.306747161584,2458819.306747162,2019-12-01T19:21:42.955
1819.3442471979993,2458819.344247198,2019-12-01T20:15:42.958
1819.3845250119566,2458819.3845250118,2019-12-01T21:13:42.961
1819.423413932952,2458819.423413933,2019-12-01T22:09:42.964
1819.462302851619,2458819.4623028515,2019-12-01T23:05:42.966
1819.5025806571944,2458819.502580657,2019-12-02T00:03:42.969
1819.5400806810362,2458819.540080681,2019-12-02T00:57:42.971
1819.5803584810237,2458819.580358481,2019-12-02T01:55:42.973
1819.6206362786843,2458819.6206362788,2019-12-02T02:53:42.974
1819.6581362941433,2458819.658136294,2019-12-02T03:47:42.976
1819.6984140862153,2458819.6984140864,2019-12-02T04:45:42.977
1819.737302986256,2458819.7373029864,2019-12-02T05:41:42.978
1819.7761918839683,2458819.776191884,2019-12-02T06:37:42.979
1819.8150807788859,2458819.8150807787,2019-12-02T07:33:42.979
1819.8553585597824,2458819.8553585596,2019-12-02T08:31:42.980
1819.8914696715692,2458819.8914696714,2019-12-02T09:23:42.980
1819.9317474478084,2458819.9317474477,2019-12-02T10:21:42.979
1819.9692474437106,2458819.9692474436,2019-12-02T11:15:42.979
1820.0109141031335,2458820.010914103,2019-12-02T12:15:42.979
1820.0498029822195,2458820.0498029822,2019-12-02T13:11:42.978
1820.0886918589772,2458820.088691859,2019-12-02T14:07:42.977
1820.1275807334064,2458820.1275807335,2019-12-02T15:03:42.975
1820.167858493347,2458820.1678584935,2019-12-02T16:01:42.974
1820.2053584743485,2458820.2053584745,2019-12-02T16:55:42.972
1820.244247341327,2458820.2442473415,2019-12-02T17:51:42.970
1820.2831362055117,2458820.2831362053,2019-12-02T18:47:42.968
1820.3234139552078,2458820.323413955,2019-12-02T19:45:42.966
1820.3623028142702,2458820.362302814,2019-12-02T20:41:42.963
1820.4011916710044,2458820.401191671,2019-12-02T21:37:42.960
1820.4386916375706,2458820.4386916375,2019-12-02T22:31:42.957
1820.4789693770222,2458820.478969377,2019-12-02T23:29:42.954
1820.51785822584,2458820.517858226,2019-12-03T00:25:42.951
1820.5567470727951,2458820.556747073,2019-12-03T01:21:42.947
1820.5956359169563,2458820.595635917,2019-12-03T02:17:42.943
1820.6359136456977,2458820.635913646,2019-12-03T03:15:42.939
1820.673413598294,2458820.6734135984,2019-12-03T04:09:42.935
1820.7136913219128,2458820.713691322,2019-12-03T05:07:42.930
1820.7525801562954,2458820.752580156,2019-12-03T06:03:42.925
1820.791468987884,2458820.7914689877,2019-12-03T06:59:42.921
1820.8317467040529,2458820.831746704,2019-12-03T07:57:42.915
1820.8692466445414,2458820.8692466444,2019-12-03T08:51:42.910
1820.9081354691448,2458820.908135469,2019-12-03T09:47:42.905
1820.9484131778631,2458820.948413178,2019-12-03T10:45:42.899
1820.9873019973445,2458820.9873019974,2019-12-03T11:41:42.893
1821.0261908144976,2458821.0261908146,2019-12-03T12:37:42.886
1821.065079629322,2458821.0650796294,2019-12-03T13:33:42.880
