tBJD,HJD,fits,dMag
1764.726106805879,2458764.7261068057,2019-10-08T05:25:35.628,1.305325828770494
1764.8608270600714,2458764.86082706,2019-10-08T08:39:35.458,1.2622021958862475
1764.9969361215265,2458764.9969361215,2019-10-08T11:55:35.281,1.3088314833815793
1765.130267403151,2458765.130267403,2019-10-08T15:07:35.104,1.3386227386326797
1765.2649875192765,2458765.2649875195,2019-10-08T18:21:34.922,1.3194295927529565
1765.4010964770066,2458765.401096477,2019-10-08T21:37:34.736,1.492793912035763
1765.5344276815629,2458765.5344276815,2019-10-09T00:49:34.552,1.4535375184948354
1765.6705366037866,2458765.670536604,2019-10-09T04:05:34.363,1.3607216200728987
1765.8052566470367,2458765.805256647,2019-10-09T07:19:34.174,1.4013101403017563
1765.9399766799258,2458765.93997668,2019-10-09T10:33:33.985,1.325919534252567
1766.0746967043158,2458766.0746967043,2019-10-09T13:47:33.795,1.3247237407697607
1766.2094167213745,2458766.2094167215,2019-10-09T17:01:33.605,1.1825981044795582
1766.3455255984288,2458766.3455255986,2019-10-09T20:17:33.412,1.2286575153280053
1766.480245603961,2458766.480245604,2019-10-09T23:31:33.220,1.3697560898205763
1766.6149656047203,2458766.6149656046,2019-10-10T02:45:33.028,1.2862456379532978
1766.7510744672234,2458766.7510744673,2019-10-10T06:01:32.834,1.2705329117035744
1766.8857944600657,2458766.88579446,2019-10-10T09:15:32.641,1.3524337464554441
1767.0191255835996,2458767.0191255836,2019-10-10T12:27:32.450,1.2711362122083
1767.1538455699235,2458767.15384557,2019-10-10T15:41:32.257,1.303817742784975
1767.2885655533373,2458767.2885655533,2019-10-10T18:55:32.064,1.2789391342542795
1767.4232855340738,2458767.423285534,2019-10-10T22:09:31.870,1.2741046587887048
1767.5580055124826,2458767.5580055127,2019-10-11T01:23:31.676,1.296532057656669
1767.6927254884467,2458767.6927254885,2019-10-11T04:37:31.482,1.3588260001277634
1767.830223193718,2458767.830223194,2019-10-11T07:55:31.284,1.270625633069326
1767.9635542997885,2458767.9635543,2019-10-11T11:07:31.092,1.291143135492191
1768.0968854039977,2458768.096885404,2019-10-11T14:19:30.899,1.451417615009709
1768.2329942376305,2458768.2329942374,2019-10-11T17:35:30.702,1.4181686067922832
1768.367714203932,2458768.367714204,2019-10-11T20:49:30.507,1.3413986127258093
1768.5010453030188,2458768.501045303,2019-10-12T00:01:30.314,1.2836307734401922
1768.6357652660608,2458768.635765266,2019-10-12T03:15:30.119,1.3627693476648706
1768.7718740932921,2458768.7718740935,2019-10-12T06:31:29.922,1.3646027545280026
1768.9065940535404,2458768.9065940534,2019-10-12T09:45:29.726,1.3473287525176056
1769.0427028780941,2458769.042702878,2019-10-12T13:01:29.529,1.3771927776515431
1769.177422835781,2458769.177422836,2019-10-12T16:15:29.333,1.5541041384920948
1769.312142792305,2458769.312142792,2019-10-12T19:29:29.137,1.3117104818890573
1769.4454738823115,2458769.4454738824,2019-10-12T22:41:28.943,1.3431832244076225
1769.5815827024414,2458769.581582702,2019-10-13T01:57:28.745,1.306173607552403
1769.7149137905853,2458769.7149137906,2019-10-13T05:09:28.552,1.3337837972618858
1769.8510226089704,2458769.851022609,2019-10-13T08:25:28.353,1.503987271878418
1769.985742561071,2458769.985742561,2019-10-13T11:39:28.157,1.3341379960560504
1770.009353274273,2458770.0093532745,2019-10-13T12:13:28.123,1.1189122491194832
1770.1204625127054,2458770.1204625126,2019-10-13T14:53:27.961,1.5328190416686094
1770.2565713292267,2458770.256571329,2019-10-13T18:09:27.763,1.3392289243103337
1770.3899024144614,2458770.3899024143,2019-10-13T21:21:27.569,1.321371736902592
1770.5260112304006,2458770.5260112304,2019-10-14T00:37:27.370,1.179539111018714
1770.6607311806397,2458770.6607311806,2019-10-14T03:51:27.174,1.332556005708637
1770.7954511308787,2458770.7954511307,2019-10-14T07:05:26.978,1.3302943962342375
1770.9301710811158,2458770.9301710813,2019-10-14T10:19:26.781,1.3365426453257514
1771.0648910317034,2458771.0648910315,2019-10-14T13:33:26.585,1.3768765664014189
1771.199610982641,2458771.1996109826,2019-10-14T16:47:26.389,1.3342375489968283
1771.3343309341606,2458771.334330934,2019-10-14T20:01:26.193,1.2896696564772128
1771.4690508862616,2458771.469050886,2019-10-14T23:15:25.997,1.3005996357860419
1771.6037708394103,2458771.6037708395,2019-10-15T02:29:25.801,1.2951732357847003
1771.738490793491,2458771.7384907934,2019-10-15T05:43:25.605,1.3259170326895227
1771.8732107488524,2458771.8732107487,2019-10-15T08:57:25.409,1.3125976411161095
1772.0093195713137,2458772.0093195713,2019-10-15T12:13:25.211,1.288325483607379
1772.1426506643481,2458772.1426506643,2019-10-15T15:25:25.017,1.268359431849756
1772.2787594904182,2458772.2787594902,2019-10-15T18:41:24.820,1.2525286144510095
1772.4148683186986,2458772.4148683185,2019-10-15T21:57:24.623,1.3766949199787373
1772.5495882838402,2458772.549588284,2019-10-16T01:11:24.428,1.3790033525195438
1772.6843082518908,2458772.684308252,2019-10-16T04:25:24.233,1.304650824378577
1772.8162504915656,2458772.8162504914,2019-10-16T07:35:24.042,1.3817298634414896
1772.953748197423,2458772.9537481973,2019-10-16T10:53:23.844,1.4155158224454851
1773.0884681757195,2458773.088468176,2019-10-16T14:07:23.650,1.2581416217480736
1773.2217992923893,2458773.2217992926,2019-10-16T17:19:23.459,1.3623149660719884
1773.3579081453506,2458773.3579081455,2019-10-16T20:35:23.264,1.3081372890655776
1773.4926281376163,2458773.4926281376,2019-10-16T23:49:23.071,1.2826480591784195
1773.6273481354706,2458773.6273481357,2019-10-17T03:03:22.879,1.3595631550262377
1773.7620681394963,2458773.7620681394,2019-10-17T06:17:22.687,1.3234902145982639
1773.8967881502726,2458773.89678815,2019-10-17T09:31:22.496,1.3843815277401315
1774.0315081686147,2458774.0315081687,2019-10-17T12:45:22.306,1.4008815084872845
1774.1648393289415,2458774.1648393287,2019-10-17T15:57:22.118,1.3254516730793326
1774.3009482307978,2458774.300948231,2019-10-17T19:13:21.927,1.347073257810504
1774.435668276384,2458774.435668276,2019-10-17T22:27:21.739,1.3378032546832224
1774.570388333028,2458774.570388333,2019-10-18T01:41:21.552,1.36896266452282
1774.7051084017805,2458774.705108402,2019-10-18T04:55:21.366,1.2895671279000462
1774.842606217652,2458774.8426062176,2019-10-18T08:13:21.177,1.3569853400237335
1774.9759374480593,2458774.975937448,2019-10-18T11:25:20.996,1.3061487213467597
1775.1092686946492,2458775.1092686947,2019-10-18T14:37:20.815,1.4193557145917084
1775.245377694063,2458775.2453776943,2019-10-18T17:53:20.633,1.3737142510987754
1775.3800978469847,2458775.380097847,2019-10-18T21:07:20.454,1.2856499312713316
1775.5162068907528,2458775.516206891,2019-10-19T00:23:20.275,1.280810950352214
1775.6495382246546,2458775.6495382246,2019-10-19T03:35:20.103,1.280201606203261
1775.7828695869614,2458775.782869587,2019-10-19T06:47:19.932,1.3521757607783844
1775.9189787187402,2458775.9189787186,2019-10-19T10:03:19.761,1.325642598905357
1776.0550878876559,2458776.0550878877,2019-10-19T13:19:19.593,1.3309185552835576
1776.1898082276564,2458776.1898082276,2019-10-19T16:33:19.431,1.3650347166925525
1777.8064497410653,2458777.806449741,2019-10-21T07:21:17.258,1.3868530286940233
1777.9411692592928,2458777.941169259,2019-10-21T10:35:17.024,1.4058204097078724
1778.0772776011947,2458778.077277601,2019-10-21T13:51:16.785,1.3776873849905646
1778.211997054693,2458778.2119970545,2019-10-21T17:05:16.546,1.316652288842635
1778.3481053466537,2458778.348105347,2019-10-21T20:21:16.302,1.3658023646383444
1778.48143590174,2458778.481435902,2019-10-21T23:33:16.062,1.2586225611869408
1778.6175441630835,2458778.617544163,2019-10-22T02:49:15.816,1.3585895451720977
1778.7522635537196,2458778.752263554,2019-10-22T06:03:15.571,1.3631113203254095
1778.8869829353905,2458778.8869829355,2019-10-22T09:17:15.326,1.4355506646074587
1779.0217023094956,2458779.0217023096,2019-10-22T12:31:15.080,1.5405149230087836
1779.1564216774307,2458779.156421677,2019-10-22T15:45:14.833,1.3342634901273251
1779.289752180595,2458779.2897521807,2019-10-22T18:57:14.588,1.29136514942888
1779.4258603980513,2458779.425860398,2019-10-22T22:13:14.338,1.347780684447775
1779.5619686113143,2458779.561968611,2019-10-23T01:29:14.088,1.358515086576845
1779.6952991026067,2458779.6952991025,2019-10-23T04:41:13.842,1.3864083023306937
1779.8300184500526,2458779.83001845,2019-10-23T07:55:13.594,1.3672459710845537
1779.9647377948218,2458779.964737795,2019-10-23T11:09:13.345,1.3360523042916053
1780.1008459964448,2458780.1008459963,2019-10-23T14:25:13.094,1.4379377948559358
1780.235565336558,2458780.2355653364,2019-10-23T17:39:12.845,1.4015348976508863
1780.370284674808,2458780.3702846747,2019-10-23T20:53:12.596,1.3582501788862924
1780.5050040113117,2458780.505004011,2019-10-24T00:07:12.347,1.3881480629775549
1780.6397233461855,2458780.639723346,2019-10-24T03:21:12.097,1.3938634700752586
1780.7744426796633,2458780.7744426797,2019-10-24T06:35:11.848,1.3474815871990857
1780.9091620118609,2458780.909162012,2019-10-24T09:49:11.598,1.3697502502355958
1781.0438813427775,2458781.0438813427,2019-10-24T13:03:11.348,1.3512400986894701
1781.1786006727618,2458781.1786006726,2019-10-24T16:17:11.098,1.3277458915334635
1781.3147088607654,2458781.3147088606,2019-10-24T19:33:10.846,1.3889071007314973
1781.4480393298224,2458781.4480393296,2019-10-24T22:45:10.598,1.3590414392446584
1781.584147516197,2458781.584147516,2019-10-25T02:01:10.345,1.3788895676847956
1781.7174779838567,2458781.717477984,2019-10-25T05:13:10.098,1.372398758475248
1781.8535861690666,2458781.853586169,2019-10-25T08:29:09.845,1.3981037329079056
1781.9883054947452,2458781.9883054947,2019-10-25T11:43:09.595,1.388481554938111
1782.1244136790235,2458782.124413679,2019-10-25T14:59:09.342,1.3499701255199947
1782.2577441449378,2458782.257744145,2019-10-25T18:11:09.094,1.3717137643418522
1782.3924634698014,2458782.39246347,2019-10-25T21:25:08.844,1.452472870649348
1782.528571653498,2458782.5285716536,2019-10-26T00:41:08.591,1.3513106998035378
1782.6632909781292,2458782.663290978,2019-10-26T03:55:08.340,1.3141942984149408
1782.7980103028783,2458782.7980103027,2019-10-26T07:09:08.090,1.3407805381944549
1782.932729627859,2458782.932729628,2019-10-26T10:23:07.840,1.3662098126718607
1783.0674489530718,2458783.067448953,2019-10-26T13:37:07.590,1.3980785860972058
1783.2021682786346,2458783.202168279,2019-10-26T16:51:07.339,1.332601375784744
1783.33688760478,2458783.3368876046,2019-10-26T20:05:07.089,1.4157470760118105
1783.4716069316241,2458783.4716069316,2019-10-26T23:19:06.839,1.3648955452986573
1783.6063262591658,2458783.606326259,2019-10-27T02:33:06.589,1.3477950006565476
1783.7410455876397,2458783.7410455877,2019-10-27T05:47:06.339,1.3071677558056352
1783.8757649171605,2458783.875764917,2019-10-27T09:01:06.089,1.3678160486635265
1784.0118731069126,2458784.011873107,2019-10-27T12:17:05.836,1.3634879332781007
1784.1465924388797,2458784.1465924387,2019-10-27T15:31:05.587,1.4094284375856596
1784.2813117723592,2458784.2813117723,2019-10-27T18:45:05.337,1.3793168086588503
1784.4160311074686,2458784.4160311073,2019-10-27T21:59:05.088,1.3455905145851783
1784.550750444558,2458784.5507504446,2019-10-28T01:13:04.838,1.409124867199686
1784.68546978351,2458784.6854697834,2019-10-28T04:27:04.589,1.3733767403348753
1784.8201891247907,2458784.820189125,2019-10-28T07:41:04.340,1.340705587105979
1784.954908468515,2458784.9549084683,2019-10-28T10:55:04.092,1.3745898614844183
1785.0896278149173,2458785.089627815,2019-10-28T14:09:03.843,1.35290332677329
1785.2243471642316,2458785.2243471644,2019-10-28T17:23:03.595,1.3277236668148304
1785.3604553761027,2458785.360455376,2019-10-28T20:39:03.344,1.3393543588466257
1785.4951747321682,2458785.495174732,2019-10-28T23:53:03.097,1.3962163984305058
1785.629894092075,2458785.629894092,2019-10-29T03:07:02.850,1.4109068558073634
1785.7604468776956,2458785.7604468777,2019-10-29T06:15:02.610,1.3479313695673087
1785.7896129261146,2458785.789612926,2019-10-29T06:57:02.557,1.1165009508519956
1785.899332824463,2458785.8993328246,2019-10-29T09:35:02.356,1.4001253138856022
1786.034052197759,2458786.034052198,2019-10-29T12:49:02.110,1.4140975104415046
1786.1687715764083,2458786.1687715766,2019-10-29T16:03:01.864,1.3990353561925926
1786.3034909607634,2458786.303490961,2019-10-29T19:17:01.619,1.3846909213029388
1786.4382103512887,2458786.4382103514,2019-10-29T22:31:01.374,1.3649757603750023
1786.5729297485661,2458786.5729297483,2019-10-30T01:45:01.130,1.4053898326021552
1786.709038013174,2458786.709038013,2019-10-30T05:01:00.884,1.3891196181840584
1786.8423685659375,2458786.842368566,2019-10-30T08:13:00.644,1.413018662733249
1786.9784768473105,2458786.9784768475,2019-10-30T11:29:00.400,1.317358035686649
1787.1131962783481,2458787.1131962785,2019-10-30T14:43:00.158,1.364619126143242
1787.2479157198065,2458787.2479157196,2019-10-30T17:56:59.918,1.4132108059613517
1787.3812463122083,2458787.381246312,2019-10-30T21:08:59.681,1.3518838756708451
1787.5173546379945,2458787.517354638,2019-10-31T00:24:59.441,1.3471274257112107
1787.652074117113,2458787.652074117,2019-10-31T03:38:59.204,1.3728102247506828
1787.7867936114815,2458787.7867936115,2019-10-31T06:52:58.968,1.3793049014707874
1787.9229019837746,2458787.922901984,2019-10-31T10:08:58.731,1.2636972473542711
1788.0562326526626,2458788.0562326526,2019-10-31T13:20:58.501,1.391707159008901
1788.1909522035514,2458788.1909522037,2019-10-31T16:34:58.270,1.3824073018585212
1788.3256717778395,2458788.325671778,2019-10-31T19:48:58.042,1.3107660760963407
1788.4617802405307,2458788.4617802408,2019-10-31T23:04:57.813,1.3418104916316977
1788.5951110089538,2458788.5951110087,2019-11-01T02:16:57.591,1.406154408877404
1788.7312195360225,2458788.731219536,2019-11-01T05:32:57.368,1.3706220437041907
1788.865939239299,2458788.8659392395,2019-11-01T08:46:57.150,1.4429708880074301
1789.0006589864072,2458789.0006589866,2019-11-01T12:00:56.936,1.3787018455486353
1789.133989918801,2458789.133989919,2019-11-01T15:12:56.729,1.4407986609783416
1789.2700986334733,2458789.2700986336,2019-11-01T18:28:56.522,1.5022094728428224
1789.4034296733787,2458789.4034296735,2019-11-01T21:40:56.324,1.4730113685903459
1789.5395384874703,2458789.5395384873,2019-11-02T00:56:56.125,1.520244183671799
1789.6742584423203,2458789.674258442,2019-11-02T04:10:55.929,1.37610531983984
