tBJD,HJD,fits
1738.6943825762314,2458738.6943825763,2019-09-12T04:39:54.655
1738.829104287051,2458738.829104287,2019-09-12T07:53:54.610
1738.9638259623644,2458738.9638259625,2019-09-12T11:07:54.563
1739.09854761032,2458739.0985476105,2019-09-12T14:21:54.514
1739.2332692368539,2458739.233269237,2019-09-12T17:35:54.462
1739.369379728837,2458739.369379729,2019-09-12T20:51:54.409
1739.5041013242885,2458739.5041013244,2019-09-13T00:05:54.354
1739.6374340260068,2458739.637434026,2019-09-13T03:17:54.300
1739.7735444825976,2458739.7735444824,2019-09-13T06:33:54.243
1739.9082660487147,2458739.908266049,2019-09-13T09:47:54.187
1740.042987607496,2458740.0429876074,2019-09-13T13:01:54.129
1740.1777091599924,2458740.17770916,2019-09-13T16:15:54.071
1740.3124307068997,2458740.312430707,2019-09-13T19:29:54.013
1740.4471522485705,2458740.4471522486,2019-09-13T22:43:53.954
1740.5818737855825,2458740.5818737857,2019-09-14T01:57:53.895
1740.5902070762818,2458740.590207076,2019-09-14T02:09:53.891
1740.7179841999164,2458740.7179842,2019-09-14T05:13:53.835
1740.8513168468035,2458740.851316847,2019-09-14T08:25:53.776
1740.9860383715927,2458740.9860383715,2019-09-14T11:39:53.715
1741.122148774402,2458741.1221487746,2019-09-14T14:55:53.654
1741.2568702922063,2458741.256870292,2019-09-14T18:09:53.593
1741.3929806882634,2458741.3929806883,2019-09-14T21:25:53.531
1741.5277021995494,2458741.5277021998,2019-09-15T00:39:53.470
1741.6610348262961,2458741.661034826,2019-09-15T03:51:53.409
1741.7957563316436,2458741.7957563316,2019-09-15T07:05:53.347
1741.9304778341993,2458741.9304778343,2019-09-15T10:19:53.285
1742.0665882154713,2458742.0665882155,2019-09-15T13:35:53.222
1742.1999208311609,2458742.1999208312,2019-09-15T16:47:53.160
1742.3360312070777,2458742.336031207,2019-09-15T20:03:53.096
1742.4707526990405,2458742.470752699,2019-09-15T23:17:53.033
1742.6068630699515,2458742.60686307,2019-09-16T02:33:52.969
1742.7401956757449,2458742.7401956758,2019-09-16T05:45:52.906
1742.874917160489,2458742.8749171607,2019-09-16T08:59:52.843
1743.0096386430214,2458743.009638643,2019-09-16T12:13:52.779
1743.1443601233414,2458743.144360123,2019-09-16T15:27:52.715
1743.2790816015677,2458743.2790816016,2019-09-16T18:41:52.650
1743.4151919589744,2458743.415191959,2019-09-16T21:57:52.585
1743.5499134331262,2458743.549913433,2019-09-17T01:11:52.521
1743.684634905414,2458743.6846349053,2019-09-17T04:25:52.456
1743.8179674946778,2458743.8179674945,2019-09-17T07:37:52.392
1743.9540778445191,2458743.9540778445,2019-09-17T10:53:52.326
1744.0887993116853,2458744.088799312,2019-09-17T14:07:52.261
1744.223520777105,2458744.223520777,2019-09-17T17:21:52.195
1744.3582422412437,2458744.358242241,2019-09-17T20:35:52.130
1744.4929637039882,2458744.492963704,2019-09-17T23:49:52.064
1744.5040747523556,2458744.5040747523,2019-09-18T00:05:52.059
1744.5165746817693,2458744.5165746817,2019-09-18T00:23:52.053
1744.534630135484,2458744.5346301356,2019-09-18T00:49:52.044
1744.6276851654488,2458744.6276851655,2019-09-18T03:03:51.998
1744.7637955067935,2458744.7637955067,2019-09-18T06:19:51.932
1744.8985169661605,2458744.898516966,2019-09-18T09:33:51.866
1745.0332384245958,2458745.0332384245,2019-09-18T12:47:51.800
1745.167959882333,2458745.1679598824,2019-09-18T16:01:51.734
1745.3026813394895,2458745.3026813394,2019-09-18T19:15:51.668
1745.4374027962945,2458745.4374027965,2019-09-18T22:29:51.602
1745.5735131336814,2458745.5735131335,2019-09-19T01:45:51.535
1745.708234590138,2458745.70823459,2019-09-19T04:59:51.469
1745.842956046596,2458745.8429560466,2019-09-19T08:13:51.402
1745.9762886223557,2458745.9762886222,2019-09-19T11:25:51.337
1746.1123989606745,2458746.1123989606,2019-09-19T14:41:51.270
1746.2471204187623,2458746.2471204186,2019-09-19T17:55:51.204
1746.3818418778978,2458746.381841878,2019-09-19T21:09:51.138
1746.51517445715,2458746.5151744573,2019-09-20T00:21:51.073
1746.6512848001257,2458746.6512848,2019-09-20T03:37:51.007
1746.7860062639177,2458746.786006264,2019-09-20T06:51:50.941
1746.9207277299215,2458746.92072773,2019-09-20T10:05:50.876
1747.0554491983703,2458747.0554491985,2019-09-20T13:19:50.811
1747.1915595510086,2458747.191559551,2019-09-20T16:35:50.745
1747.3262810258611,2458747.326281026,2019-09-20T19:49:50.681
1747.4610025044376,2458747.4610025045,2019-09-20T23:03:50.616
1747.5957239874388,2458747.5957239876,2019-09-21T02:17:50.553
1747.7304454752125,2458747.7304454753,2019-09-21T05:31:50.489
