tBJD,HJD,fits
1683.3994022490074,2458683.399402249,2019-07-18T21:35:08.354
1683.5341269788914,2458683.534126979,2019-07-19T00:49:08.571
1683.6688516736172,2458683.6688516736,2019-07-19T04:03:08.785
1683.8049652557077,2458683.804965256,2019-07-19T07:19:08.998
1683.939689903053,2458683.939689903,2019-07-19T10:33:09.208
1684.0744145342164,2458684.074414534,2019-07-19T13:47:09.416
1684.20913915269,2458684.209139153,2019-07-19T17:01:09.623
1684.3452526741294,2458684.345252674,2019-07-19T20:17:09.831
1684.4785883604172,2458684.4785883604,2019-07-19T23:29:10.034
1684.6133129530467,2458684.613312953,2019-07-20T02:43:10.239
1684.7480375399718,2458684.74803754,2019-07-20T05:57:10.443
1684.8813732087983,2458684.881373209,2019-07-20T09:09:10.645
1685.0174866998527,2458685.0174867,2019-07-20T12:25:10.851
1685.154989100392,2458685.1549891005,2019-07-20T15:43:11.058
1685.2897136714846,2458685.2897136714,2019-07-20T18:57:11.261
1685.421660413947,2458685.421660414,2019-07-20T22:07:11.460
1685.5563849800342,2458685.55638498,2019-07-21T01:21:11.662
1685.6924984571192,2458685.692498457,2019-07-21T04:37:11.867
1685.8286119323411,2458685.828611932,2019-07-21T07:53:12.071
1685.9633364928407,2458685.963336493,2019-07-21T11:07:12.273
1686.0966721389661,2458686.096672139,2019-07-21T14:19:12.473
1686.2313966965553,2458686.2313966965,2019-07-21T17:33:12.675
1686.3675101659574,2458686.367510166,2019-07-21T20:49:12.878
1686.5008458082402,2458686.500845808,2019-07-22T00:01:13.078
1686.6369592754304,2458686.636959275,2019-07-22T03:17:13.281
1686.7716838287115,2458686.771683829,2019-07-22T06:31:13.483
1686.905019468202,2458686.905019468,2019-07-22T09:43:13.682
1687.0411329327144,2458687.0411329325,2019-07-22T12:59:13.885
1687.1758574835508,2458687.1758574834,2019-07-22T16:13:14.087
1687.3091931207132,2458687.309193121,2019-07-22T19:25:14.286
1687.4453065831303,2458687.4453065833,2019-07-22T22:41:14.489
